Article,Fig,Rate,Glucose,ATP,G6P,ADP,Phosphate,pH,Temperature,Apparent_Keq
CopleyJBC1967,Fig1,0.278597497,1.25E-05,0.005,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig1,0.27210399,1.25E-05,0.0025,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig1,0.238242753,1.25E-05,0.00125,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig1,0.222412144,1.25E-05,0.001,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig1,0.20076752,1.25E-05,0.00071,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig1,0.346328615,1.70E-05,0.005,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig1,0.318872692,1.70E-05,0.0025,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig1,0.280066944,1.70E-05,0.00125,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig1,0.266202056,1.70E-05,0.001,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig1,0.240036599,1.70E-05,0.00071,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig1,0.457570741,2.50E-05,0.005,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig1,0.402546916,2.50E-05,0.0025,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig1,0.359598267,2.50E-05,0.00125,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig1,0.326040497,2.50E-05,0.001,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig1,0.288679042,2.50E-05,0.00071,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig1,0.646778475,5.00E-05,0.005,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig1,0.553309642,5.00E-05,0.0025,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig1,0.441124472,5.00E-05,0.00125,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig1,0.409784179,5.00E-05,0.001,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig1,0.338970693,5.00E-05,0.00071,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig1,0.828039806,0.0001,0.005,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig1,0.652941931,0.0001,0.0025,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig1,0.505409862,0.0001,0.00125,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig1,0.464684637,0.0001,0.001,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig1,0.404246789,0.0001,0.00071,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig2,0.403989514,0.0001,0.00071,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig2,0.34291846,5.00E-05,0.00071,0,0,0,7.6,28,4665.4
CopleyJBC1967,Fig2,0.293378632,2.50E-05,0.00071,0,0,0,7.6,28,4665.4
