[NADP] (uM),[G6P] (uM),[NADPH] (uM),[PGLn] (uM),[ATP] (uM),Rate_V,V_fig_i,Specific_Activity,Article,Fig,X_axis_label,Experiment_date,pH,Temperature,Apparent_Keq,NADP raw,G6P raw,NADPH raw,PGLn raw,Rate V raw,Notes
1,200,0,0,0,15.33,1,161,Wang2002,1A,NADP,,8,25,43.743,1,200,0,0,0.0652,
1.401,200,0,0,0,19.94,1,161,Wang2002,1A,NADP,,8,25,43.743,0.714,200,0,0,0.0502,
2.004,200,0,0,0,27.16,1,161,Wang2002,1A,NADP,,8,25,43.743,0.499,200,0,0,0.0368,
3.493,200,0,0,0,43.86,1,161,Wang2002,1A,NADP,,8,25,43.743,0.2863,200,0,0,0.0228,
5.028,200,0,0,0,52.8,1,161,Wang2002,1A,NADP,,8,25,43.743,0.1989,200,0,0,0.0189,
10,200,0,0,0,77.04,1,161,Wang2002,1A,NADP,,8,25,43.743,0.1,200,0,0,0.013,
25.562,200,0,0,0,95.06,1,161,Wang2002,1A,NADP,,8,25,43.743,0.0391,200,0,0,0.0105,
51.099,200,0,0,0,101.83,1,161,Wang2002,1A,NADP,,8,25,43.743,0.0196,200,0,0,0.0098,
72.359,200,0,0,0,105.61,1,161,Wang2002,1A,NADP,,8,25,43.743,0.0138,200,0,0,0.0095,
1,100,0,0,0,12.9,1,161,Wang2002,1A,NADP,,8,25,43.743,1,100,0,0,0.0775,
1.401,100,0,0,0,17.6,1,161,Wang2002,1A,NADP,,8,25,43.743,0.714,100,0,0,0.0568,
2.004,100,0,0,0,22.45,1,161,Wang2002,1A,NADP,,8,25,43.743,0.499,100,0,0,0.0445,
3.506,100,0,0,0,34.35,1,161,Wang2002,1A,NADP,,8,25,43.743,0.2852,100,0,0,0.0291,
5.028,100,0,0,0,43.86,1,161,Wang2002,1A,NADP,,8,25,43.743,0.1989,100,0,0,0.0228,
10.111,100,0,0,0,63.37,1,161,Wang2002,1A,NADP,,8,25,43.743,0.0989,100,0,0,0.0158,
25.562,100,0,0,0,79.18,1,161,Wang2002,1A,NADP,,8,25,43.743,0.0391,100,0,0,0.0126,
51.073,100,0,0,0,89.13,1,161,Wang2002,1A,NADP,,8,25,43.743,0.0196,100,0,0,0.0112,
78.864,100,0,0,0,95.06,1,161,Wang2002,1A,NADP,,8,25,43.743,0.0127,100,0,0,0.0105,
1,60,0,0,0,10.48,1,161,Wang2002,1A,NADP,,8,25,43.743,1,60,0,0,0.0954,
1.401,60,0,0,0,14.19,1,161,Wang2002,1A,NADP,,8,25,43.743,0.714,60,0,0,0.0705,
1.999,60,0,0,0,18.05,1,161,Wang2002,1A,NADP,,8,25,43.743,0.5002,60,0,0,0.0554,
3.493,60,0,0,0,28.23,1,161,Wang2002,1A,NADP,,8,25,43.743,0.2863,60,0,0,0.0354,
5.028,60,0,0,0,35.2,1,161,Wang2002,1A,NADP,,8,25,43.743,0.1989,60,0,0,0.0284,
10.109,60,0,0,0,50.03,1,161,Wang2002,1A,NADP,,8,25,43.743,0.0989,60,0,0,0.02,
25.556,60,0,0,0,62,1,161,Wang2002,1A,NADP,,8,25,43.743,0.0391,60,0,0,0.0161,
51.046,60,0,0,0,66.31,1,161,Wang2002,1A,NADP,,8,25,43.743,0.0196,60,0,0,0.0151,
86.655,60,0,0,0,71.28,1,161,Wang2002,1A,NADP,,8,25,43.743,0.0115,60,0,0,0.014,
1,40,0,0,0,8.49,1,161,Wang2002,1A,NADP,,8,25,43.743,1,40,0,0,0.1178,
1.4,40,0,0,0,11.69,1,161,Wang2002,1A,NADP,,8,25,43.743,0.7141,40,0,0,0.0856,
2.004,40,0,0,0,15.5,1,161,Wang2002,1A,NADP,,8,25,43.743,0.4991,40,0,0,0.0645,
3.493,40,0,0,0,23.18,1,161,Wang2002,1A,NADP,,8,25,43.743,0.2863,40,0,0,0.0431,
5.025,40,0,0,0,28.23,1,161,Wang2002,1A,NADP,,8,25,43.743,0.199,40,0,0,0.0354,
9.99,40,0,0,0,40.16,1,161,Wang2002,1A,NADP,,8,25,43.743,0.1001,40,0,0,0.0249,
24.82,40,0,0,0,52.8,1,161,Wang2002,1A,NADP,,8,25,43.743,0.0403,40,0,0,0.0189,
51.02,40,0,0,0,58.21,1,161,Wang2002,1A,NADP,,8,25,43.743,0.0196,40,0,0,0.0172,
96.154,40,0,0,0,62,1,161,Wang2002,1A,NADP,,8,25,43.743,0.0104,40,0,0,0.0161,
1,25,0,0,0,7.13,1,161,Wang2002,1A,NADP,,8,25,43.743,1,25,0,0,0.1403,
1.4,25,0,0,0,9.2,1,161,Wang2002,1A,NADP,,8,25,43.743,0.7142,25,0,0,0.1087,
2.004,25,0,0,0,11.96,1,161,Wang2002,1A,NADP,,8,25,43.743,0.4991,25,0,0,0.0836,
