[6PGA] (uM),[NADP] (uM),[CO2] (uM),[Ru5P] (uM),[NADPH] (uM),Rate_V,V_fig_i,Specific_Activity,Article,Fig,X_axis_label,pH,Temperature (C),Apparent Keq (M),[6PGA] raw,[NADP] raw,[CO2] raw,[Ru5P] raw,[NADPH] raw,Rate V raw,Notes,Column22,[ATP] (uM)
48.0,200.0,0,0,0.0,0.0431,1,13.12,Akkemik2010,3,PGA,8.0,25,0.079,200.0,21.27799736,0.0,0,0.0,23.19749,[NADP] taken from methods section. Raw [6PGA] data is in mM,raw substrate concentration given in mM,0.0
36.0,200.0,0,0,0.0,0.0307,1,13.12,Akkemik2010,3,PGA,8.0,25,0.079,200.0,27.54940711,0.0,0,0.0,32.60188,,,0.0
24.0,200.0,0,0,0.0,0.0198,1,13.12,Akkemik2010,3,PGA,8.0,25,0.079,200.0,41.43610013,0.0,0,0.0,50.47022,,,0.0
12.0,200.0,0,0,0.0,0.0153,1,13.12,Akkemik2010,3,PGA,8.0,25,0.079,200.0,82.87220026,0.0,0,0.0,65.20376,,,0.0
6.0,200.0,0,0,0.0,0.0077,1,13.12,Akkemik2010,3,PGA,8.0,25,0.079,200.0,165.7444005,0.0,0,0.0,130.40752,,,0.0
1000.0,43.38394794,0,0,0.0,0.014150943,2,11.0,Chan2013,Supp4B,NADP,7.0,25,0.079,0.02305,1000.0,0.0,0,0.0,0.00424,raw rate in pmol/s. Converted to umol/min. Dropped two data points nearest y-axis. Temp reported as RT; guessed to be 25C,,0.0
1000.0,11.67951413,0,0,0.0,0.012170385,2,11.0,Chan2013,Supp4B,NADP,7.0,25,0.079,0.08562,1000.0,0.0,0,0.0,0.00493,,,0.0
1000.0,4.030957756,0,0,0.0,0.008321775,2,11.0,Chan2013,Supp4B,NADP,7.0,25,0.079,0.24808,1000.0,0.0,0,0.0,0.00721,,,0.0
1000.0,2.044906139,0,0,0.0,0.005964215,2,11.0,Chan2013,Supp4B,NADP,7.0,25,0.079,0.48902,1000.0,0.0,0,0.0,0.01006,,,0.0
1000.0,1.050144395,0,0,0.0,0.003738318,2,11.0,Chan2013,Supp4B,NADP,7.0,25,0.079,0.95225,1000.0,0.0,0,0.0,0.01605,,,0.0
877.1929825,1000.0,0,0,0.0,0.005905512,3,11.0,Chan2013,Supp4D,PGA,7.0,25,0.079,1000.0,0.00114,0.0,0,0.0,0.01016,,,0.0
203.2520325,1000.0,0,0,0.0,0.004930156,3,11.0,Chan2013,Supp4D,PGA,7.0,25,0.079,1000.0,0.00492,0.0,0,0.0,0.01217,,,0.0
101.010101,1000.0,0,0,0.0,0.003838772,3,11.0,Chan2013,Supp4D,PGA,7.0,25,0.079,1000.0,0.0099,0.0,0,0.0,0.01563,,,0.0
50.22601708,1000.0,0,0,0.0,0.003013561,3,11.0,Chan2013,Supp4D,PGA,7.0,25,0.079,1000.0,0.01991,0.0,0,0.0,0.01991,,,0.0
25.03755633,1000.0,0,0,0.0,0.001602992,3,11.0,Chan2013,Supp4D,PGA,7.0,25,0.079,1000.0,0.03994,0.0,0,0.0,0.03743,,,0.0
12.5,1000.0,0,0,0.0,0.00083068,3,11.0,Chan2013,Supp4D,PGA,7.0,25,0.079,1000.0,0.08,0.0,0,0.0,0.07223,,,0.0
225.225,80.0,0,0,0.0,0.0485,4,20.0,Cottreau1975,10A,PGA,8.0,37,0.1939,80.0,0.0444,0.0,0,0.0,20.6371,raw [6PGA] given in 10^-5 M. Temp was not reported; guessed to be 25C,,0.0
60.864,80.0,0,0,0.0,0.0371,4,20.0,Cottreau1975,10A,PGA,8.0,37,0.1939,80.0,0.1643,0.0,0,0.0,26.9518,,,0.0
28.752,80.0,0,0,0.0,0.0277,4,20.0,Cottreau1975,10A,PGA,8.0,37,0.1939,80.0,0.3478,0.0,0,0.0,36.0748,,,0.0
17.995,80.0,0,0,0.0,0.0225,4,20.0,Cottreau1975,10A,PGA,8.0,37,0.1939,80.0,0.5557,0.0,0,0.0,44.5027,,,0.0
14.921,80.0,0,0,0.0,0.0204,4,20.0,Cottreau1975,10A,PGA,8.0,37,0.1939,80.0,0.6702,0.0,0,0.0,49.1265,,,0.0
10.611,80.0,0,0,0.0,0.0158,4,20.0,Cottreau1975,10A,PGA,8.0,37,0.1939,80.0,0.9424,0.0,0,0.0,63.1018,,,0.0
225.225,20.0,0,0,0.0,0.0438,4,20.0,Cottreau1975,10A,PGA,8.0,37,0.1939,80.0,0.0444,0.0,0,0.0,22.8516,,,0.0
60.938,20.0,0,0,0.0,0.0313,4,20.0,Cottreau1975,10A,PGA,8.0,37,0.1939,20.0,0.1641,0.0,0,0.0,31.9634,,,0.0
28.96,20.0,0,0,0.0,0.0226,4,20.0,Cottreau1975,10A,PGA,8.0,37,0.1939,20.0,0.3453,0.0,0,0.0,44.2329,,,0.0
23.697,20.0,0,0,0.0,0.0199,4,20.0,Cottreau1975,10A,PGA,8.0,37,0.1939,20.0,0.422,0.0,0,0.0,50.1903,,raw substrate concentration given in mM,0.0
